Pike #,Samplers,Section,Date,Start Time,Stop time,Species,Fork length,Tag #,Comments,Event,Gear
1,Eric and Rob,2,6/1/2018,9:05,19:05,NP,479,1224,,Mark,HL
2,Eric and Rob,2,6/1/2018,9:05,19:05,NP,320,1222,,Mark,HL
3,Eric and Rob,2,6/1/2018,9:05,19:05,NP,430,1221,,Mark,HL
4,Eric and Rob,2,6/1/2018,9:05,19:05,NP,445,1220,,Mark,HL
5,Eric and Rob,2,6/1/2018,9:05,19:05,NP,575,1219,,Mark,HL
6,Eric and Rob,2,6/1/2018,9:05,19:05,NP,419,1218,,Mark,HL
7,Eric and Rob,2,6/1/2018,9:05,19:05,NP,390,1217,,Mark,HL
8,Eric and Rob,2,6/1/2018,9:05,19:05,NP,372,1216,,Mark,HL
9,Eric and Rob,2,6/1/2018,9:05,19:05,NP,335,1215,,Mark,HL
10,Eric and Rob,2,6/1/2018,9:05,19:05,NP,325,1214,,Mark,HL
11,Eric and Rob,2,6/1/2018,9:05,19:05,NP,368,1213,,Mark,HL
12,Eric and Rob,2,6/1/2018,9:05,19:05,NP,455,1212,,Mark,HL
13,Eric and Rob,2,6/1/2018,9:05,19:05,NP,396,1211,,Mark,HL
14,Eric and Rob,2,6/1/2018,9:05,19:05,NP,427,1210,Bleeding roof of mouth,Mark,HL
15,Eric and Rob,2,6/1/2018,9:05,19:05,NP,403,1209,,Mark,HL
16,Eric and Rob,2,6/1/2018,9:05,19:05,NP,495,1208,,Mark,HL
17,Eric and Rob,2,6/1/2018,9:05,19:05,NP,510,1207,,Mark,HL
18,Eric and Rob,2,6/1/2018,9:05,19:05,NP,405,1206,,Mark,HL
19,Eric and Rob,2,6/1/2018,9:05,19:05,NP,510,1205,,Mark,HL
20,Eric and Rob,2,6/1/2018,9:05,19:05,NP,423,1204,,Mark,HL
21,Eric and Rob,2,6/1/2018,9:05,19:05,NP,391,1203,,Mark,HL
22,Eric and Rob,2,6/1/2018,9:05,19:05,NP,390,1202,,Mark,HL
23,Eric and Rob,2,6/1/2018,9:05,19:05,NP,576,1201,,Mark,HL
24,Eric and Rob,2,6/1/2018,9:05,19:05,NP,397,1200,,Mark,HL
25,Eric and Rob,2,6/1/2018,9:05,19:05,NP,345,1249,,Mark,HL
26,Eric and Rob,2,6/1/2018,9:05,19:05,NP,492,1248,,Mark,HL
27,Eric and Rob,2,6/1/2018,9:05,19:05,NP,396,1247,,Mark,HL
28,Eric and Rob,2,6/1/2018,9:05,19:05,NP,396,1246,,Mark,HL
29,Eric and Rob,2,6/1/2018,9:05,19:05,NP,457,1245,,Mark,HL
30,Eric and Rob,2,6/1/2018,9:05,19:05,NP,312,1244,,Mark,HL
31,Eric and Rob,2,6/1/2018,9:05,19:05,NP,410,1243,,Mark,HL
32,Eric and Rob,2,6/1/2018,9:05,19:05,NP,447,1242,Bleeder,Mark,HL
33,Eric and Rob,2,6/1/2018,9:05,19:05,NP,432,1241,,Mark,HL
34,Eric and Rob,2,6/1/2018,9:05,19:05,NP,379,1240,,Mark,HL
35,Eric and Rob,2,6/1/2018,9:05,19:05,NP,480,1239,,Mark,HL
36,Eric and Rob,2,6/1/2018,9:05,19:05,NP,522,1238,Bleeder,Mark,HL
37,Eric and Rob,2,6/1/2018,9:05,19:05,NP,375,1237,,Mark,HL
38,Eric and Rob,2,6/1/2018,9:05,19:05,NP,493,1236,,Mark,HL
39,Eric and Rob,2,6/1/2018,9:05,19:05,NP,340,1235,,Mark,HL
40,Eric and Rob,2,6/1/2018,9:05,19:05,NP,502,1234,,Mark,HL
41,Eric and Rob,2,6/1/2018,9:05,19:05,NP,435,1233,,Mark,HL
42,Eric and Rob,2,6/1/2018,9:05,19:05,NP,366,1232,"Caught near brain, bleeder",Mark,HL
43,Eric and Rob,2,6/1/2018,9:05,19:05,NP,430,1231,,Mark,HL
44,Eric and Rob,2,6/1/2018,9:05,19:05,NP,310,1230,,Mark,HL
45,SVD GVD,2,6/1/2018,9:10,19:10,NP,428,1123,,Mark,HL
46,SVD GVD,2,6/1/2018,9:10,19:10,NP,425,1120,,Mark,HL
47,SVD GVD,2,6/1/2018,9:10,19:10,NP,442,1119,,Mark,HL
48,SVD GVD,2,6/1/2018,9:10,19:10,NP,,1118,Fish escaped,Mark,HL
49,SVD GVD,2,6/1/2018,9:10,19:10,NP,378,1117,,Mark,HL
50,SVD GVD,2,6/1/2018,9:10,19:10,NP,475,1115,,Mark,HL
51,SVD GVD,2,6/1/2018,9:10,19:10,NP,440,1114,,Mark,HL
52,SVD GVD,2,6/1/2018,9:10,19:10,NP,433,,Mort (1113),Mark,HL
53,SVD GVD,2,6/1/2018,9:10,19:10,NP,583,,Angler mort 1112,Mark,HL
54,SVD GVD,2,6/1/2018,9:10,19:10,NP,387,1111,,Mark,HL
55,SVD GVD,2,6/1/2018,9:10,19:10,NP,351,1110,,Mark,HL
56,SVD GVD,2,6/1/2018,9:10,19:10,NP,406,1109,,Mark,HL
57,SVD GVD,2,6/1/2018,9:10,19:10,NP,402,1108,,Mark,HL
58,SVD GVD,2,6/1/2018,9:10,19:10,NP,389,1107,,Mark,HL
59,SVD GVD,2,6/1/2018,9:10,19:10,NP,403,1106,,Mark,HL
60,SVD GVD,2,6/1/2018,9:10,19:10,NP,425,1105,,Mark,HL
61,SVD GVD,2,6/1/2018,9:10,19:10,NP,369,1104,,Mark,HL
62,SVD GVD,2,6/1/2018,9:10,19:10,NP,378,1103,,Mark,HL
63,SVD GVD,2,6/1/2018,9:10,19:10,NP,455,1102,,Mark,HL
64,SVD GVD,2,6/1/2018,9:10,19:10,NP,354,1101,,Mark,HL
65,SVD GVD,2,6/1/2018,9:10,19:10,NP,444,1100,,Mark,HL
66,SVD GVD,2,6/1/2018,9:10,19:10,NP,370,,Mort  ,Mark,HL
67,SVD GVD,2,6/1/2018,9:10,19:10,NP,432,,Mort,Mark,HL
68,SVD GVD,2,6/1/2018,9:10,19:10,NP,367,1148,,Mark,HL
69,SVD GVD,2,6/1/2018,9:10,19:10,NP,504,1147,,Mark,HL
70,SVD GVD,2,6/1/2018,9:10,19:10,NP,434,1146,,Mark,HL
71,SVD GVD,2,6/1/2018,9:10,19:10,NP,440,1145,,Mark,HL
72,SVD GVD,2,6/1/2018,9:10,19:10,NP,318,1144,,Mark,HL
73,SVD GVD,2,6/1/2018,9:10,19:10,NP,358,1143,,Mark,HL
74,SVD GVD,2,6/1/2018,9:10,19:10,NP,362,1142,,Mark,HL
75,SVD GVD,2,6/1/2018,9:10,19:10,NP,383,1141,,Mark,HL
76,SVD GVD,2,6/1/2018,9:10,19:10,NP,359,1140,,Mark,HL
77,SVD GVD,2,6/1/2018,9:10,19:10,NP,386,1139,,Mark,HL
78,SVD GVD,2,6/1/2018,9:10,19:10,NP,449,1138,,Mark,HL
79,SVD GVD,2,6/1/2018,9:10,19:10,NP,312,1136,,Mark,HL
80,SVD GVD,2,6/1/2018,9:10,19:10,NP,324,1135,,Mark,HL
81,SVD GVD,2,6/1/2018,9:10,19:10,NP,460,,Mort (1134),Mark,HL
82,SVD GVD,2,6/1/2018,9:10,19:10,NP,337,1133,,Mark,HL
83,SVD GVD,2,6/1/2018,9:10,19:10,NP,408,1132,,Mark,HL
84,SVD GVD,2,6/1/2018,9:10,19:10,NP,432,1131,,Mark,HL
85,SVD GVD,2,6/1/2018,9:10,19:10,NP,485,1130,,Mark,HL
86,SVD GVD,2,6/1/2018,9:10,19:10,NP,424,1129,,Mark,HL
87,SVD GVD,2,6/1/2018,9:10,19:10,NP,435,1128,,Mark,HL
88,SVD GVD,2,6/1/2018,9:10,19:10,NP,392,1127,,Mark,HL
89,SVD GVD,2,6/1/2018,9:10,19:10,NP,396,1126,,Mark,HL
90,SVD GVD,2,6/1/2018,9:10,19:10,NP,398,1125,,Mark,HL
