"","city","permits_issued","permits_returned","permits_not_returned","permits_fished","no_return_but_fished","fishery","red","king","coho","pink","chum","flounder","exp_reds","exp_kings","exp_coho","exp_pink","exp_chum","exp_flounder"
"1","",624,624,0,533,0,"FISH CREEK",364,0,17,19,7,0,364,0,17,19,7,0
"2","",624,624,0,533,0,"KASILOF DIPNET",3570,0,32,169,32,39,3570,0,32,169,32,39
"3","",624,624,0,533,0,"KASILOF GILLNET",364,3,0,1,4,0,364,3,0,1,4,0
"4","",624,624,0,533,0,"KENAI",5747,0,24,392,30,66,5747,0,24,392,30,66
"5","",624,624,0,533,0,"UNKNOWN",61,0,1,4,0,1,61,0,1,4,0,1
"6","1521 S. CUSHMAN NO. 242",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AK",1,1,0,1,0,"KASILOF GILLNET",46,2,0,0,0,0,46,2,0,0,0,0
"8","ALAKANUK",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ALAMOGORDO",1,1,0,1,0,"KENAI",75,0,0,0,0,0,75,0,0,0,0,0
"10","AMBLER",3,1,2,1,1.37,"KENAI",20,0,0,0,0,0,47,0,0,0,0,0
"11","ANAKTUVUK PASS",3,2,1,1,0.68,"KASILOF DIPNET",5,0,0,0,0,0,8,0,0,0,0,0
"12","ANCHOR POINT",149,124,25,88,17.11,"FISH CREEK",0,0,0,0,0,0,0,0,0,0,0,0
"13","ANCHOR POINT",149,124,25,88,17.11,"KASILOF DIPNET",710,0,4,15,4,8,848,0,5,18,5,9.55545454545454
"14","ANCHOR POINT",149,124,25,88,17.11,"KASILOF GILLNET",106,0,0,3,0,0,127,0,0,4,0,0
"15","ANCHOR POINT",149,124,25,88,17.11,"KENAI",472,0,2,14,0,18,564,0,2,17,0,21.4997727272727
"16","ANCHOR POINT",149,124,25,88,17.11,"UNKNOWN",40,0,0,0,0,0,48,0,0,0,0,0
"17","ANCHORAGE",10610,7898,2712,6277,1856.53,"FISH CREEK",2450,0,206,67,22,1,3175,0,267,87,29,1.29576708618767
"18","ANCHORAGE",10610,7898,2712,6277,1856.53,"KASILOF DIPNET",34072,5,264,1369,161,290,44149,6,342,1774,209,375.772454994424
"19","ANCHORAGE",10610,7898,2712,6277,1856.53,"KASILOF GILLNET",3727,31,0,2,0,26,4829,40,0,3,0,33.6899442408794
"20","ANCHORAGE",10610,7898,2712,6277,1856.53,"KENAI",61026,1,174,3862,185,808,79075,1,225,5004,240,1046.97980563964
"21","ANCHORAGE",10610,7898,2712,6277,1856.53,"UNKNOWN",845,2,13,52,1,8,1095,3,17,67,1,10.3661366895014
"22","ANCHORAGE AK",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","ANDERSON",1,1,0,1,0,"KENAI",28,0,0,0,0,0,28,0,0,0,0,0
"24","ANGOON",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","ANIAK",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","ARCTIC VILLAGE",2,2,0,2,0,"KENAI",23,0,0,0,0,0,23,0,0,0,0,0
"27","ATQASUK",2,1,1,1,0.68,"KENAI",8,0,0,1,0,0,13,0,0,2,0,0
"28","AUKE BAY",1,1,0,1,0,"KENAI",31,0,0,0,0,0,31,0,0,0,0,0
"29","AURORA",1,1,0,1,0,"KASILOF DIPNET",0,0,0,0,0,0,0,0,0,0,0,0
"30","BARROW",41,21,20,18,13.69,"KASILOF DIPNET",77,0,0,0,0,0,136,0,0,0,0,0
"31","BARROW",41,21,20,18,13.69,"KASILOF GILLNET",15,0,0,0,0,0,26,0,0,0,0,0
"32","BARROW",41,21,20,18,13.69,"KENAI",320,0,2,12,1,0,563,0,4,21,2,0
"33","BETHEL",13,6,7,4,4.79,"KASILOF DIPNET",2,0,0,0,0,0,4,0,0,0,0,0
"34","BETHEL",13,6,7,4,4.79,"KENAI",63,0,0,4,0,0,138,0,0,9,0,0
"35","BIG LAKE",143,119,24,84,16.43,"FISH CREEK",310,0,27,2,1,0,371,0,32,2,1,0
"36","BIG LAKE",143,119,24,84,16.43,"KASILOF DIPNET",349,0,0,7,0,4,417,0,0,8,0,4.78238095238095
"37","BIG LAKE",143,119,24,84,16.43,"KASILOF GILLNET",119,0,0,0,0,0,142,0,0,0,0,0
