"","permit","harvdate","red","king","coho","pink","chum","flounder","fishery","effort_days","city","familysi","allowed","mailing","status","region_number","region_code","area_name"
"1",21,2018-07-21,5,0,0,0,0,0,"KENAI",1,"",2,35,0,"HARVEST REPORTED",NA,NA,NA
"2",21,2018-07-22,10,0,0,0,0,0,"KENAI",1,"",2,35,0,"HARVEST REPORTED",NA,NA,NA
"3",24,2018-09-22,4,0,0,0,0,0,"KENAI",1,"",2,35,0,"HARVEST REPORTED",NA,NA,NA
"4",24,2018-09-23,2,0,0,0,0,0,"KENAI",1,"",2,35,0,"HARVEST REPORTED",NA,NA,NA
"5",25,2018-07-21,18,0,0,0,0,0,"KENAI",1,"",4,55,0,"HARVEST REPORTED",NA,NA,NA
"6",26,2018-07-26,6,0,0,3,0,0,"KENAI",1,"",2,35,0,"HARVEST REPORTED",NA,NA,NA
"7",26,2018-07-27,4,0,0,0,0,0,"KENAI",1,"",2,35,0,"HARVEST REPORTED",NA,NA,NA
"8",101,2018-06-15,14,0,0,0,0,1,"KASILOF GILLNET",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"9",101,2018-06-16,5,0,0,0,0,0,"KASILOF GILLNET",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"10",101,2018-06-17,9,0,0,0,0,0,"KASILOF GILLNET",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"11",101,2018-06-21,7,0,0,0,0,0,"KASILOF GILLNET",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"12",101,2018-06-22,0,0,0,0,0,0,"KASILOF GILLNET",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"13",103,2018-07-24,4,0,0,0,0,0,"KENAI",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"14",103,2018-07-29,9,0,0,3,0,0,"KENAI",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"15",107,2018-07-26,0,0,0,0,0,0,"KENAI",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"16",108,2018-07-21,20,0,0,0,5,0,"KASILOF DIPNET",1,"ANCHORAGE",5,65,2,"HARVEST REPORTED",2,"L","Anchorage"
"17",109,2018-07-17,10,0,0,0,0,0,"KASILOF DIPNET",1,"ANCHORAGE",4,55,0,"HARVEST REPORTED",2,"L","Anchorage"
"18",109,2018-07-30,25,0,0,0,0,0,"KASILOF DIPNET",1,"ANCHORAGE",4,55,0,"HARVEST REPORTED",2,"L","Anchorage"
"19",110,2018-07-16,1,0,0,0,0,0,"KENAI",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"20",110,2018-07-17,3,0,0,0,0,0,"KENAI",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
"21",110,2018-07-29,19,0,0,1,0,0,"KENAI",1,"ANCHORAGE",2,35,0,"HARVEST REPORTED",2,"L","Anchorage"
