region_number,region_code,area_name,city
1,F,Haines-Skagway,SKAGWAY
1,G,Glacier Bay,HOONAH
1,H,Yakutat,YAKUTAT
2,J,North Gulf Coast/Prince William Sound,CORDOVA
2,J,North Gulf Coast/Prince William Sound,SEWARD
2,J,North Gulf Coast/Prince William Sound,TATITLEK
2,J,North Gulf Coast/Prince William Sound,VALDEZ
2,J,North Gulf Coast/Prince William Sound,WHITTIER
2,K,Knik Arm Drainage,BIG LAKE
2,K,Knik Arm Drainage,CHICKALOON
2,K,Knik Arm Drainage,HOUSTON
2,K,Knik Arm Drainage,KNIK
2,K,Knik Arm Drainage,PALMER
2,K,Knik Arm Drainage,SUTTON
2,K,Knik Arm Drainage,WASILLA
2,L,Anchorage,ANCHORAGE
2,L,Anchorage,BIRD CREEK
2,L,Anchorage,CHUGIAK
2,L,Anchorage,EAGLE RIVER
2,L,Anchorage,EKLUTNA
2,L,Anchorage,ELMENDORF AFB
2,L,Anchorage,FORT RICHARDSON
2,L,Anchorage,GIRDWOOD
2,L,Anchorage,INDIAN
2,L,Anchorage,PETERS CREEK
2,M,East-Side Sustina Drainage,TALKEETNA
2,M,East-Side Sustina Drainage,WILLOW
2,N,West-Side Cook Inlet West-Side Susitna Drainage,BELUGA
2,N,West-Side Cook Inlet West-Side Susitna Drainage,SKWENTNA
2,N,West-Side Cook Inlet West-Side Susitna Drainage,TRAPPER CREEK
2,N,West-Side Cook Inlet West-Side Susitna Drainage,TYONEK
2,P,Kenai Peninsula,ANCHOR POINT
2,P,Kenai Peninsula,CLAM GULCH
2,P,Kenai Peninsula,COOPER LANDING
2,P,Kenai Peninsula,FRITZ CREEK
2,P,Kenai Peninsula,HALIBUT COVE
2,P,Kenai Peninsula,HOMER
2,P,Kenai Peninsula,HOPE
2,P,Kenai Peninsula,KASILOF
2,P,Kenai Peninsula,KENAI
2,P,Kenai Peninsula,MOOSE PASS
2,P,Kenai Peninsula,NIKISKI
2,P,Kenai Peninsula,NIKOLAEVSK
2,P,Kenai Peninsula,NINILCHIK
2,P,Kenai Peninsula,SELDOVIA
2,P,Kenai Peninsula,SOLDOTNA
2,P,Kenai Peninsula,STERLING
2,Q,Kodiak,CHINIAK
2,Q,Kodiak,KODIAK
2,Q,Kodiak,LARSEN BAY
2,Q,Kodiak,OLD HARBOR
2,Q,Kodiak,OUZINKIE
2,R,Naknek Drainages Alaska Peninsula,ADAK
2,R,Naknek Drainages Alaska Peninsula,CHIGNIK LAGOON
2,R,Naknek Drainages Alaska Peninsula,COLD BAY
2,R,Naknek Drainages Alaska Peninsula,DUTCH HARBOR
