PERMIT,HARVDATE,RED,KING,COHO,PINK,CHUM,FLOUNDER,FISHERY
2,7/20/2016,0,0,0,0,0,0,KENAI
4,7/21/2016,12,0,0,0,0,0,KENAI
6,7/20/2016,20,0,0,0,0,0,KENAI
7,7/19/2016,8,0,0,0,0,0,KENAI
7,7/20/2016,10,0,0,0,0,0,KENAI
8,7/17/2016,7,0,0,0,0,0,KENAI
8,7/18/2016,1,0,0,0,0,0,KENAI
8,7/19/2016,1,0,0,0,0,0,KENAI
8,7/23/2016,2,0,0,0,0,0,KENAI
9,7/22/2016,0,0,0,0,0,0,KENAI
10,7/17/2016,6,0,0,0,0,0,KENAI
10,7/18/2016,5,0,0,0,0,0,KENAI
12,7/23/2016,3,0,0,0,0,0,KENAI
15,7/14/2016,11,0,0,0,0,0,KENAI
16,7/22/2016,0,0,7,0,0,1,KENAI
17,7/14/2016,29,0,0,0,0,0,KENAI
18,7/18/2016,7,0,0,0,0,0,KENAI
19,7/18/2016,5,0,0,0,0,0,KENAI
19,7/25/2016,13,0,0,1,0,0,KENAI
19,7/26/2016,18,0,0,3,0,0,KENAI
20,7/23/2016,7,0,0,0,0,0,KENAI
21,7/15/2016,8,0,0,0,0,0,KENAI
21,7/16/2016,15,1,0,0,0,0,KENAI
22,7/26/2016,2,0,0,0,0,0,KENAI
25,7/16/2016,6,0,0,0,0,0,KENAI
25,7/31/2016,15,0,0,0,0,0,KENAI
26,7/15/2016,12,0,0,0,0,0,KASILOF
26,7/16/2016,5,0,0,0,0,2,KASILOF
27,7/14/2016,32,0,0,0,0,0,KENAI
27,7/15/2016,11,0,0,0,0,0,KENAI
27,7/16/2016,9,0,0,0,0,0,KENAI
29,1/1/1990,16,0,0,0,0,0,KASILOF
30,7/18/2016,4,0,0,0,0,0,KENAI
31,7/15/2016,2,0,0,0,0,0,KENAI
31,7/16/2016,6,0,0,0,0,0,KENAI
33,7/14/2016,6,0,0,0,0,0,KENAI
33,7/15/2016,4,0,0,0,0,0,KENAI
34,7/26/2016,19,0,4,1,0,0,KASILOF
35,7/16/2016,4,0,0,0,0,0,KENAI
35,7/17/2016,6,0,0,0,0,0,KENAI
35,7/30/2016,16,0,0,5,0,0,KENAI
36,7/16/2016,7,0,0,0,0,0,KENAI
36,7/17/2016,9,0,0,0,0,0,KENAI
36,7/18/2016,1,0,0,0,0,0,KENAI
37,7/17/2016,35,0,0,0,0,0,KENAI
38,7/15/2016,12,0,0,0,0,0,KENAI
39,7/16/2016,12,0,0,0,0,0,KENAI
41,6/1/1990,0,0,0,0,0,0,KENAI
42,7/29/2016,0,0,5,1,0,0,KENAI
42,7/30/2016,0,0,8,2,0,0,KENAI
43,7/17/2016,2,0,0,0,0,0,KENAI
43,7/23/2016,2,0,0,0,0,0,KENAI
43,7/24/2016,15,0,0,0,0,0,KENAI
45,7/24/2016,3,0,0,0,0,0,KENAI
46,7/19/2016,4,0,0,0,0,0,KENAI
47,7/23/2016,6,0,0,0,0,0,KENAI
48,7/16/2016,0,0,0,0,0,0,UNKNOWN
48,7/17/2016,0,0,0,0,0,0,UNKNOWN
48,7/18/2016,0,0,0,0,0,0,UNKNOWN
48,7/19/2016,0,0,0,0,0,0,KASILOF
48,7/20/2016,0,0,0,0,0,0,UNKNOWN
49,7/18/2016,6,0,0,0,0,0,KENAI
50,7/17/2016,1,0,0,0,0,0,KENAI
51,7/16/2016,8,0,0,0,0,0,KENAI
52,7/17/2016,10,0,0,0,0,0,KENAI
53,7/18/2016,0,0,0,0,0,0,KENAI
54,7/18/2016,6,0,0,0,0,0,KENAI
54,7/19/2016,5,0,0,0,0,0,KENAI
54,7/20/2016,8,0,0,0,0,0,KENAI
56,7/15/2016,1,0,0,0,0,0,KASILOF
56,7/16/2016,3,0,0,0,0,0,KASILOF
