,,239365,115,2634,11333,753,2527,,,,,,,,,
PERMIT,HARVDATE,RED,KING,COHO,PINK,CHUM,FLOUNDER,FISHERY,WEEK,CHANGE,FIX,ORIGINAL_RED,ORIGINAL_KING,ORIGINAL_COHO,ORIGINAL_PINK,ORIGINAL_CHUM
21,7/21/2018,5,0,0,0,0,0,KENAI,29,,,,,,,
21,7/22/2018,10,0,0,0,0,0,KENAI,30,,,,,,,
24,9/22/2018,4,0,0,0,0,0,KENAI,38,,,,,,,
24,9/23/2018,2,0,0,0,0,0,KENAI,39,,,,,,,
25,7/21/2018,18,0,0,0,0,0,KENAI,29,,,,,,,
26,7/26/2018,6,0,0,3,0,0,KENAI,30,,,,,,,
26,7/27/2018,4,0,0,0,0,0,KENAI,30,,,,,,,
101,6/15/2018,14,0,0,0,0,1,KASILOF,24,,,,,,,
101,6/16/2018,5,0,0,0,0,0,KASILOF,24,,,,,,,
101,6/17/2018,9,0,0,0,0,0,KASILOF,25,,,,,,,
101,6/21/2018,7,0,0,0,0,0,KASILOF,25,,,,,,,
101,6/22/2018,0,0,0,0,0,0,KASILOF,25,,,,,,,
103,7/24/2018,4,0,0,0,0,0,KENAI,30,,,,,,,
103,7/29/2018,9,0,0,3,0,0,KENAI,31,,,,,,,
107,7/26/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
108,7/21/2018,20,0,0,0,5,0,KASILOF,29,,,,,,,
109,7/17/2018,10,0,0,0,0,0,KASILOF,29,,,,,,,
109,7/30/2018,25,0,0,0,0,0,KASILOF,31,,,,,,,
110,7/16/2018,1,0,0,0,0,0,KENAI,29,,,,,,,
110,7/17/2018,3,0,0,0,0,0,KENAI,29,,,,,,,
110,7/29/2018,19,0,0,1,0,0,KENAI,31,,,,,,,
112,7/17/2018,4,0,0,0,0,0,KASILOF,29,,,,,,,
113,6/15/2018,9,0,0,0,0,0,KASILOF,24,,,,,,,
113,6/16/2018,3,0,0,0,0,0,KASILOF,24,,,,,,,
113,6/17/2018,5,0,0,0,0,0,KASILOF,25,,,,,,,
113,6/18/2018,5,1,0,0,0,0,KASILOF,25,,,,,,,
115,7/1/2018,3,0,0,0,0,0,UNKNOWN,27,,,,,,,
116,7/12/2018,10,0,0,0,0,0,KASILOF,28,,,,,,,
117,7/2/2018,13,0,0,0,0,0,KASILOF,27,,,,,,,
117,7/17/2018,17,0,0,0,0,0,KASILOF,29,,,,,,,
119,6/16/2018,4,0,0,0,0,0,KASILOF,24,,,,,,,
121,7/27/2018,1,0,0,0,0,0,FISH CREEK,30,,,,,,,
121,8/1/2018,4,0,0,3,0,0,KASILOF,31,,,,,,,
123,7/25/2018,11,0,0,0,0,0,KENAI,30,,,,,,,
124,6/26/2018,12,0,0,0,0,0,KASILOF,26,,,,,,,
124,6/27/2018,7,0,0,0,0,0,KASILOF,26,,,,,,,
124,6/29/2018,43,0,0,0,0,0,KASILOF,26,,,,,,,
126,6/15/2018,6,0,0,0,0,0,KASILOF,24,,,,,,,
126,6/16/2018,3,0,0,0,0,0,KASILOF,24,,,,,,,
126,6/17/2018,1,0,0,0,0,0,KASILOF,25,,,,,,,
127,7/27/2018,27,0,0,0,0,0,KASILOF,30,,,,,,,
127,7/28/2018,10,0,0,0,0,0,KASILOF,30,,,,,,,
128,7/20/2018,21,0,0,0,0,0,KENAI,29,,,,,,,
132,6/26/2018,2,0,0,0,0,0,KASILOF,26,,,,,,,
132,6/27/2018,9,0,0,0,0,0,KASILOF,26,,,,,,,
132,6/28/2018,12,0,0,0,0,0,KASILOF,26,,,,,,,
132,6/29/2018,4,0,0,0,0,0,KASILOF,26,,,,,,,
