"","permit","fishery","red","king","coho","pink","chum","flounder","mailing","status","city"
"1",21,"KENAI",15,0,0,0,0,0,0,"HARVEST REPORTED",""
"2",24,"KENAI",6,0,0,0,0,0,0,"HARVEST REPORTED",""
"3",25,"KENAI",18,0,0,0,0,0,0,"HARVEST REPORTED",""
"4",26,"KENAI",10,0,0,3,0,0,0,"HARVEST REPORTED",""
"5",101,"KASILOF GILLNET",35,0,0,0,0,1,0,"HARVEST REPORTED","ANCHORAGE"
"6",103,"KENAI",13,0,0,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"7",107,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"8",108,"KASILOF DIPNET",20,0,0,0,5,0,2,"HARVEST REPORTED","ANCHORAGE"
"9",109,"KASILOF DIPNET",35,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"10",110,"KENAI",23,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"11",112,"KASILOF DIPNET",4,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"12",113,"KASILOF GILLNET",22,1,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"13",115,"UNKNOWN",3,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"14",116,"KASILOF DIPNET",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"15",117,"KASILOF DIPNET",30,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"16",119,"KASILOF GILLNET",4,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"17",121,"FISH CREEK",1,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"18",121,"KASILOF DIPNET",4,0,0,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"19",123,"KENAI",11,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"20",124,"KASILOF DIPNET",62,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
