hvrecid,permitno,nocatch,nohrvrpt,harvdate,location,pots,soaktime,shrimp,keyid,keydate,year,comments,mailing,stat_area
112054,276,0,0,4/15/2019,Bubba Cove,3,9,5,ADFG WEB,4/24/2019,2019,,4,
112055,281,0,0,4/15/2019,Cochrane Bay,3,5,2,ADFG WEB,4/20/2019,2019,,4,
112056,563,0,0,4/15/2019,Cocheran,3,12,1,ADFG WEB,4/23/2019,2019,,4,
112057,581,0,0,4/15/2019,Cochrane Bay,2,29,2,ADFG WEB,4/16/2019,2019,,4,
112058,281,0,0,4/16/2019,Cochrane Bay,3,5,2,ADFG WEB,4/20/2019,2019,,4,
112059,540,0,0,4/16/2019,port of valdez,2,24,1,ADFG WEB,5/14/2019,2019,,4,
112060,563,0,0,4/16/2019,Cocheran,3,24,2,ADFG WEB,4/23/2019,2019,,4,
112061,281,0,0,4/17/2019,Cochrane Bay,3,7,2,ADFG WEB,4/20/2019,2019,,4,
112062,540,0,0,4/17/2019,port of valdez,2,24,1,ADFG WEB,5/14/2019,2019,,4,
112063,563,0,0,4/17/2019,Blackston,3,12,1,ADFG WEB,4/23/2019,2019,,4,
112064,540,0,0,4/18/2019,port of valdez,2,24,0.25,ADFG WEB,5/14/2019,2019,,4,
112065,540,0,0,4/19/2019,port of valdez,2,24,0.25,ADFG WEB,5/14/2019,2019,,4,
112066,540,0,0,4/22/2019,port of valdez,2,48,0.5,ADFG WEB,5/14/2019,2019,,4,
112067,540,1,0,4/23/2019,port of valdez,2,24,0,ADFG WEB,5/14/2019,2019,,4,
112068,581,0,0,4/23/2019,Passage Canal,2,16,0.5,ADFG WEB,4/16/2019,2019,,4,
112069,540,1,0,4/24/2019,port of valdez,2,24,0,ADFG WEB,5/14/2019,2019,,4,
112070,1308,0,0,4/27/2019,Head of Bay in Whittier,3,28,0.3,ADFG WEB,5/5/2019,2019,,4,
112071,540,0,0,4/27/2019,port of valdez,2,24,1,ADFG WEB,5/14/2019,2019,,4,
112072,29,0,0,4/29/2019,Shotgun Cove,3,102,5,ADFG WEB,5/17/2019,2019,,4,
112073,581,0,0,4/29/2019,Perry Passage,2,26,0.75,ADFG WEB,4/16/2019,2019,,4,
112074,29,0,0,4/30/2019,Shotgun Cove,3,12,4,ADFG WEB,5/17/2019,2019,,4,
112075,29,0,0,5/3/2019,Shotgun Cove,3,80,6,ADFG WEB,5/17/2019,2019,,4,
112076,29,0,0,5/4/2019,Shotgun Cove,3,12,3,ADFG WEB,5/17/2019,2019,,4,
112077,581,0,0,5/7/2019,Passage Canal,2,16,0.75,ADFG WEB,4/16/2019,2019,,4,
112078,29,1,0,5/8/2019,Blackstone Bay,3,6,0,ADFG WEB,5/17/2019,2019,,4,
112079,29,0,0,5/8/2019,Shotgun Cove,3,96,3,ADFG WEB,5/17/2019,2019,,4,
112080,29,0,0,5/9/2019,Blackstone Bay,3,10,2,ADFG WEB,5/17/2019,2019,,4,
112081,581,0,0,5/11/2019,Cochrane Bay,2,18,1.25,ADFG WEB,4/16/2019,2019,,4,
112082,581,0,0,5/12/2019,Pt. Cochrane,2,24,1.25,ADFG WEB,4/16/2019,2019,,4,
112083,29,0,0,5/14/2019,Blackstone Bay,3,126,5,ADFG WEB,5/17/2019,2019,,4,
112084,581,0,0,5/14/2019,Passage Canal,2,16,1,ADFG WEB,4/16/2019,2019,,4,
112085,29,0,0,5/15/2019,Blackstone Bay,3,12,1,ADFG WEB,5/17/2019,2019,,4,
112086,581,0,0,5/15/2019,Pt. Cochrane,2,16,0.75,ADFG WEB,4/16/2019,2019,,4,
112087,2759,0,0,7/7/2019,ESHAMY BAY,2,36,0.2,slrenner,7/26/2019,2019,,0,
112088,2759,0,0,7/9/2019,ESHAMY BAY,2,30,0.15,slrenner,7/26/2019,2019,,0,
112089,1458,0,0,6/10/2019,PIGOT BAY,2,48,2,slrenner,7/26/2019,2019,,0,
112090,1458,0,0,6/13/2019,PIGOT BAY,2,24,1,slrenner,7/26/2019,2019,,0,
112091,1458,0,0,6/15/2019,EGG ROCKS,2,24,1,slrenner,7/26/2019,2019,,0,
112092,1458,0,0,6/18/2019,PIGOT BAY,2,48,2,slrenner,7/26/2019,2019,,0,
112093,2404,0,0,6/9/2019,JUNCTION ISLAND,3,72,1,slrenner,7/26/2019,2019,,0,
112094,2404,0,0,6/12/2019,JUNCTION ISLAND,3,96,2,slrenner,7/26/2019,2019,,0,
112095,2404,0,0,6/16/2019,JUNCTION ISLAND,3,72,2,slrenner,7/26/2019,2019,,0,
112096,2404,0,0,6/19/2019,JUNCTION ISLAND,3,72,1,slrenner,7/26/2019,2019,,0,
112097,2404,0,0,6/22/2019,JUNCTION ISLAND,3,72,2,slrenner,7/26/2019,2019,,0,
112098,2404,0,0,6/26/2019,JUNCTION ISLAND,3,96,1,slrenner,7/26/2019,2019,,0,
112099,2404,0,0,7/3/2019,JUNCTION ISLAND,3,96,2,slrenner,7/26/2019,2019,,0,
112100,2404,0,0,7/7/2019,JUNCTION ISLAND,3,72,3,slrenner,7/26/2019,2019,,0,
112101,2404,0,0,7/10/2019,JUNCTION ISLAND,3,48,2,slrenner,7/26/2019,2019,,0,
112102,2404,0,0,7/12/2019,JUNCTION ISLAND,3,48,0.5,slrenner,7/26/2019,2019,,0,
112103,2404,0,0,7/14/2019,JUNCTION ISLAND,3,72,0.5,slrenner,7/26/2019,2019,,0,
112104,800,0,0,6/9/2019,MAIN BAY,2,24,2,slrenner,7/29/2019,2019,,0,
112105,1563,0,0,6/26/2019,CHENEGA ISLAND,3,24,1,slrenner,7/31/2019,2019,,0,
112106,1563,0,0,7/3/2019,CHENEGA ISLAND,3,24,1,slrenner,7/31/2019,2019,,0,
112107,1563,0,0,7/7/2019,CHENEGA ISLAND,3,36,2,slrenner,7/31/2019,2019,,0,
112108,1563,0,0,7/15/2019,CHENEGA ISLAND,3,36,2.5,slrenner,7/31/2019,2019,,0,
112109,1563,0,0,7/17/2019,CHENEGA ISLAND,3,25,2.5,slrenner,7/31/2019,2019,,0,
112110,1693,0,0,5/12/2019,HEATHER BAY,3,14,0.3,slrenner,7/31/2019,2019,,0,
112111,1693,0,0,5/13/2019,LONG BAY,3,14,2.1,slrenner,7/31/2019,2019,,0,
112112,1693,0,0,6/21/2019,WEST TWIN,3,8,2.5,slrenner,7/31/2019,2019,,0,
112113,1693,0,0,6/27/2019,PAKINGHAM,3,8,2.5,slrenner,7/31/2019,2019,,0,
112114,1693,0,0,7/1/2019,PAKINGHAM,3,16,2.5,slrenner,7/31/2019,2019,,0,
112115,1693,0,0,7/2/2019,PAKINGHAM,3,14,3,slrenner,7/31/2019,2019,,0,
112116,1693,0,0,7/3/2019,PAKINGHAM,3,6,2,slrenner,7/31/2019,2019,,0,
112117,1693,0,0,7/3/2019,WEST TWIN,3,12,2.5,slrenner,7/31/2019,2019,,0,
112118,1693,0,0,7/4/2019,WEST TWIN,3,20,4,slrenner,7/31/2019,2019,2 pulls,0,
112119,1693,0,0,7/7/2019,PAKINGHAM,3,11,1.5,slrenner,7/31/2019,2019,,0,
112120,1693,0,0,7/8/2019,PAKINGHAM,3,30,2.5,slrenner,7/31/2019,2019,,0,
112121,4088,0,0,8/9/2019,,3,4,2.5,slrenner,8/27/2019,2019,,0,
