"","hvrecid","pots","soaktime","shrimp","comments"
"1",112054,3,9,5,""
"2",112055,3,5,2,""
"3",112056,3,12,1,""
"4",112057,2,29,2,""
"5",112058,3,5,2,""
"6",112059,2,24,1,""
"7",112060,3,24,2,""
"8",112061,3,7,2,""
"9",112062,2,24,1,""
"10",112063,3,12,1,""
"11",112064,2,24,0.25,""
"12",112065,2,24,0.25,""
"13",112066,2,48,0.5,""
"14",112067,2,24,0,""
"15",112068,2,16,0.5,""
"16",112069,2,24,0,""
"17",112070,3,28,0.3,""
"18",112071,2,24,1,""
"19",112072,3,102,5,""
"20",112073,2,26,0.75,""
"21",112074,3,12,4,""
"22",112075,3,80,6,""
"23",112076,3,12,3,""
"24",112077,2,16,0.75,""
"25",112078,3,6,0,""
"26",112079,3,96,3,""
"27",112080,3,10,2,""
"28",112081,2,18,1.25,""
"29",112082,2,24,1.25,""
"30",112083,3,126,5,""
"31",112084,2,16,1,""
"32",112085,3,12,1,""
"33",112086,2,16,0.75,""
"34",112087,2,36,0.2,""
"35",112088,2,30,0.15,""
"36",112089,2,48,2,""
"37",112090,2,24,1,""
"38",112091,2,24,1,""
"39",112092,2,48,2,""
"40",112093,3,72,1,""
"41",112094,3,96,2,""
"42",112095,3,72,2,""
"43",112096,3,72,1,""
"44",112097,3,72,2,""
"45",112098,3,96,1,""
"46",112099,3,96,2,""
"47",112100,3,72,3,""
"48",112101,3,48,2,""
"49",112102,3,48,0.5,""
"50",112103,3,72,0.5,""
"51",112104,2,24,2,""
"52",112105,3,24,1,""
"53",112106,3,24,1,""
"54",112107,3,36,2,""
"55",112108,3,36,2.5,""
"56",112109,3,25,2.5,""
"57",112110,3,14,0.3,""
"58",112111,3,14,2.1,""
"59",112112,3,8,2.5,""
"60",112113,3,8,2.5,""
"61",112114,3,16,2.5,""
"62",112115,3,14,3,""
"63",112116,3,6,2,""
"64",112117,3,12,2.5,""
"65",112118,3,20,4,"2 pulls"
"66",112119,3,11,1.5,""
"67",112120,3,30,2.5,""
"68",112121,3,4,2.5,""
"69",112122,3,4,2.5,""
"70",112123,3,3,2,""
"71",112124,3,4,2,""
"72",112125,3,4,1,""
"73",112126,3,12,3,""
"74",112127,3,24,4,""
"75",112128,3,12,5,""
"76",112129,3,12,5,""
"77",112130,2,24,0.5,""
"78",112131,2,48,4,""
"79",112132,2,18,0,""
"80",112133,2,24,2,""
"81",112134,2,24,0.5,""
"82",112135,2,24,0,""
"83",112136,2,18,0,""
"84",112137,2,18,5,""
"85",112138,2,8,2,""
"86",112139,2,20,1.5,"2 pulls"
"87",112146,3,24,5,""
"88",112147,3,48,6,""
"89",112148,3,60,3,""
"90",112149,3,48,1.5,""
"91",112150,3,36,1,""
"92",112151,3,48,2,""
"93",112152,3,60,3.5,""
"94",112153,2,48,0.5,""
"95",112154,3,15,0,""
"96",112155,3,3,0,""
"97",112156,3,3,0.01,""
"98",112157,3,11,1,""
"99",112158,3,4,1,""
"100",112159,3,4,1,""
"101",112160,3,10,2,""
"102",112161,3,10,1,""
"103",112162,1,12,0,""
"104",112166,3,10,1,""
"105",112167,3,12,2,""
"106",112168,2,0,1,""
"107",112169,2,6,0.5,""
"108",112170,3,24,2,""
"109",112171,1,24,1.5,""
"110",112172,3,36,5,""
"111",112173,3,6,5,""
"112",112174,3,24,12,""
"113",112175,3,24,10,""
"114",112176,3,8,5,""
"115",112177,2,12,1,""
"116",112178,2,24,2,""
"117",112179,2,12,1,""
"118",112180,3,10,1,""
"119",112181,3,8,7,""
"120",112182,3,10,4,""
"121",112183,3,10,8,"2 pulls"
"122",112184,3,8,5,""
"123",112185,2,6,0,""
"124",112186,3,72,3,""
"125",112187,3,72,2,""
"126",112188,3,12,1,""
"127",112189,3,48,5,"2 pulls"
"128",112190,3,24,1,""
"129",112191,3,96,1,""
"130",112192,3,12,1,""
"131",112193,3,24,2,""
"132",112194,3,24,2,""
"133",112195,3,24,2,""
"134",112196,3,24,1,""
"135",112197,3,24,2,""
"136",112198,3,24,1,""
"137",112199,3,24,1,""
"138",112200,3,24,1,""
"139",112201,3,24,2,""
"140",112202,3,24,1,""
"141",112203,3,24,0.5,""
"142",112204,3,24,2,""
"143",112205,3,24,0,""
"144",112206,3,24,0.5,""
"145",112207,3,24,2,""
"146",112208,3,12,4,""
"147",112209,3,8,8,"2 pulls"
"148",112210,3,10,4,""
"149",112211,3,24,3,""
"150",112212,2,24,2,""
"151",112213,2,12,1,""
"152",112214,3,24,2,""
"153",112215,3,12,2,""
"154",112216,3,24,3,""
"155",112217,3,24,3,""
"156",112218,3,12,2,""
"157",112219,3,24,3,""
"158",112220,3,24,3,""
"159",112221,3,24,3,""
"160",112222,3,24,3,""
"161",112223,3,18,0.5,""
"162",112224,3,40,0.8,""
"163",112225,3,16,0.5,""
"164",112226,3,24,0.5,""
"165",112227,3,26,0.8,""
"166",112228,3,46,0.8,""
"167",112229,3,50,0.8,""
"168",112230,3,24,0.5,""
"169",112231,3,24,0.05,""
"170",112232,3,24,0.75,""
"171",112233,3,3,1.5,""
"172",112234,2,24,4,""
"173",112235,3,24,2.5,""
"174",112236,2,12,2,""
"175",112237,3,23,1.5,"2 pulls"
"176",112238,3,12,3,""
"177",112239,3,12,1,""
"178",112240,3,12,4,""
"179",112241,3,12,5,""
"180",112242,3,12,4,""
"181",112243,3,36,0.2,""
"182",112244,3,48,1,""
"183",112245,3,48,1,""
"184",112246,3,72,1,""
"185",112247,3,24,0.5,""
"186",112248,3,48,1.5,""
"187",112249,3,6,0.3,""
"188",112250,3,5,1,""
"189",112251,3,10,2,""
"190",112252,3,24,4,""
"191",112253,3,24,3,""
"192",112254,3,24,4,""
"193",112255,2,0,0,""
"194",112256,2,0,0,""
"195",112257,2,24,1,""
"196",112258,2,48,0.05,""
"197",112259,2,24,0.005,""
"198",112260,2,24,0.005,""
"199",112261,2,48,1,""
"200",112262,2,24,2,""
"201",112263,2,48,1,""
"202",112264,2,24,1,""
"203",112265,2,48,3,""
"204",112266,3,11,2,""
"205",112267,3,9,8,"3 pulls"
"206",112268,3,10,2,""
"207",112269,3,3,2,""
"208",112270,3,12,5,""
"209",112271,3,5,3,""
"210",112272,3,3,2,""
"211",112273,3,4,4,""
"212",112274,3,48,2,""
"213",112275,3,72,3,""
"214",112276,3,24,0,""
"215",112277,3,24,0.5,""
"216",112278,3,24,0,""
"217",112279,3,24,0.5,""
"218",112280,3,24,0.5,""
"219",112281,3,24,0.5,""
"220",112282,3,24,0.5,""
"221",112283,3,24,0.5,""
"222",112284,3,24,0.5,""
"223",112285,3,24,1,""
"224",112286,3,24,11,""
"225",112287,3,24,2.5,""
"226",112288,3,24,2,""
"227",112289,3,24,2,""
