"","location","stat_area","count"
"1","",NA,15
"2",".6 miles N of Pt. Nowell",NA,1
"3",".72 S of Granite Pt.",NA,1
"4",".75 S of Granite Pt.",NA,2
"5",".75 SW of Granite Pt.3",NA,1
"6",".78 SSW of Granite Pt.",NA,1
"7",".9 SW of Granite Pt.",NA,1
"8","0",NA,3
"9","1 mile west of Ferry Terminal",NA,1
"10","2 miles south of Sawmill Bay",NA,3
"11","2 miles South of Sawmill Bay",NA,1
"12","200 yards off Harrison Lagoon",NA,1
"13","3 FINGER BAY, COCHRANE BAY",NA,1
"14","3 FINGER COVE",NA,1
"15","3 FINGERS",NA,1
"16","3 mile beach",NA,6
"17","300 yards off Harrison Lagoon",NA,1
"18","400 yards off Harrison Lagoon",NA,1
"19","476102",NA,2
"20","486003",NA,2
"21","486031",NA,4
"22","486032",NA,3
"23","486033",486033,1
"24","486033",NA,1
"25","4863034",NA,3
"26","4864034",NA,3
"27","60.89 147.59",NA,1
"28","60.9 147.23",NA,1
"29","60.93 147,13",NA,2
"30","7 MILE BEACH",NA,5
"31","across the bay from valdez",NA,2
"32","ADMIRALTY ISLAND",NA,1
"33","ALISON POINT",NA,5
"34","Allison Point",NA,12
"35","ALLISON POINT",NA,27
"36","ALLISON PT",NA,18
"37","Anderson bay",NA,1
"38","Anderson Bay",NA,2
"39","ANDERSON BAY",NA,20
"40","Anderson glacier",NA,3
"41","Anderson Glacier",NA,19
"42","applegate",NA,1
"43","Applegate",NA,4
"44","APPLEGATE",NA,4
"45","Applegate - Lower Cullross Pass",NA,1
"46","Applegate / Culross Passage",NA,3
"47","applegate island",NA,1
"48","Applegate island",NA,6
"49","Applegate Island",NA,6
"50","APPLEGATE ISLAND",NA,2
"51","APPLEGATE PASSAGE",NA,3
"52","arm",NA,3
"53","awaknik",NA,4
"54","axel lind island south end",NA,1
"55","Axel Lind, perry island",NA,1
"56","B CULROSS ISLAND",NA,1
"57","back of main bay",NA,1
"58","bain bridge",NA,1
"59","Bainbridge",NA,2
"60","BAINBRIDGE",NA,1
"61","Bainbridge East Arm Passage",NA,2
"62","BAINBRIDGE PASSAGAE",NA,1
"63","Bainbridge passage",NA,2
"64","Bainbridge Passage",NA,8
"65","BAINBRIDGE PASSAGE",486001,7
"66","BAINBRIDGE PASSAGE",486005,2
"67","Bald Chris Island",NA,3
"68","bald head chris",NA,1
"69","Bald Head Chris Island",NA,2
"70","BALD HEAD CHRIS ISLAND",476033,1
"71","Baldhead Chris I",NA,1
"72","BALDHEAD CHRIS IS",NA,1
"73","barry arm",NA,3
"74","Barry arm",NA,3
"75","Barry Arm",NA,15
"76","BARRY ARM",486100,3
"77","BARRY ARM",NA,2
"78","BARRY ARM-WHITTIER",NA,4
"79","Barry Arm Entrance",NA,1
"80","BARRY ARM MORAINE",NA,1
"81","Barry Arm, College Fjord",NA,1
"82","barrys arm",NA,2
"83","Bay",NA,6
"84","Bay of Isles",NA,1
"85","BAY OF ISLES",476007,7
"86","Bay of Isles- Just outside bay",NA,1
"87","bay/arm of Veldez",NA,1
"88","Beartrap Bay",NA,2
"89","becay arm",NA,1
"90","BEHING GLACIER ISLAND",NA,6
"91","Berry Arm",NA,1
"92","Bettels",NA,1
"93","bettels bay",NA,2
"94","Bettels Bay",NA,10
"95","bettles",NA,1
"96","Bettles",NA,9
"97","BETTLES",NA,1
"98","bettles bay",NA,9
"99","Bettles bay",NA,7
"100","Bettles Bay",NA,73
"101","BETTLES BAY",486034,3
"102","BETTLES BAY",NA,11
"103","BETTLES BAY (MOUTH)",NA,2
"104","Bettles bay area",NA,9
"105","bettles bay port wells",NA,1
"106","Between Anderson Bay and Entrance Isl. PWS",NA,5
"107","Between Logging camp bay and Entry cove",NA,5
"108","between Main Bay and foul bay",NA,1
"109","Between Potato Point and Sawmill Bay",NA,2
"110","Bigot Bay",NA,1
"111","Billings",NA,2
"112","BILLINGS",NA,1
"113","Billings Cr",NA,2
"114","billings creek",NA,1
"115","Billings Creek",NA,4
"116","BILLINGS CREEK",NA,1
"117","billings glacier bay whittier",NA,2
"118","BILLYS HOLE",476035,1
"119","Black drone bay",NA,1
"120","black stone",NA,1
