Pike #,Samplers,Latitude ,Longitude,Section,Net #,Date,Start Time,Stop Time,Species,Fork length MM,Tag Number,Comments,,,,,
1,PB NS,61.117906,-151.157323,1,1,6/1/2019,9:37,16:06,NP,570,,MORT,,,,,
,PB NS,61.117906,-151.157323,1,1,6/1/2019,9:37,16:06,LNS,,,,,,,,
,PB NS,61.117906,-151.157323,1,1,6/1/2019,9:37,16:06,LNS,,,,,,,,
 ,PB NS,61.116496,-151.158318,1,2,6/1/2019,9:47,16:30,LNS,,,,,,,,
,PB NS,61.116496,-151.158318,1,2,6/1/2019,9:47,16:30,LNS,,,,,,,,
,PB NS,61.116496,-151.158318,1,2,6/1/2019,9:47,16:30,LNS,,,,,,,,
2,PB NS,61.116496,-151.158318,1,2,6/1/2019,9:47,16:30,NP,241,,MORT,,,,,
3,PB NS,61.114581,-151.159159,1,3,6/1/2019,9:53,16:33,NP,465,2118,,,,,,
4,PB NS,61.114581,-151.159159,1,3,6/1/2019,9:53,16:33,NP,467,2117,,,,,,
5,PB NS,61.114581,-151.159159,1,3,6/1/2019,9:53,16:33,NP,470,2116,,,,,,
6,PB NS,61.114581,-151.159159,1,3,6/1/2019,9:53,16:33,NP,573,2113,,,,,,
7,PB NS,61.114581,-151.159159,1,3,6/1/2019,9:53,16:33,NP,545,2112,,,,,,
8,PB NS,61.1137,-151.15836,1,4,6/1/2019,9:59,16:39,NP,455,2124,,,,,,
9,PB NS,61.1137,-151.15836,1,4,6/1/2019,9:59,16:39,NP,439,2123,,,,,,
10,PB NS,61.113973,-151.156865,1,5,6/1/2019,10:05,16:45,NP,585,2119,,,,,,
11,PB NS,61.113973,-151.156865,1,5,6/1/2019,10:05,16:45,NP,594,2111,,,,,,
,PB NS,61.114344,-151.153358,1,6,6/1/2019,10:15,16:53,COHO,100,,,,,,,
,PB NS,61.114317,-151.152279,1,7,6/1/2019,10:20,17:02,NONE,,,,,,,,
,PB NS,61.114979,-151.150571,1,8,6/1/2019,10:22,17:08,NONE,,,,,,,,
12,PB NS,61.11734,-151.148518,1,9,6/1/2019,10:27,17:18,NP,447,2122,,,,,,
13,PB NS,61.117977,-151.148202,1,10,6/1/2019,10:32,17:27,NP,567,2121,,,,,,
14,PB NS,61.117977,-151.148202,1,10,6/1/2019,10:32,17:27,NP,578,,MORT,,,,,
15,PB NS,61.117977,-151.148202,1,10,6/1/2019,10:32,17:27,NP,588,2115,,,,,,
16,PB NS,61.117977,-151.148202,1,10,6/1/2019,10:32,17:27,NP,584,2114,,,,,,
17,PB CJ,61.118522,-151.15775,2,1,6/2/2019,9:17,15:53,NP,714,2147,,,,,,
,PB CJ,61.119242,-151.158924,2,2,6/2/2019,9:23,15:57,NONE,,,,,,,,
18,PB CJ,61.120949,-151.158521,2,3,6/2/2019,9:28,16:04,NP,278,,MORT,,,,,
19,PB CJ,61.120949,-151.158521,2,3,6/2/2019,9:28,16:04,NP,561,2146,,,,,,
20,PB CJ,61.12175,-151.157506,2,4,6/2/2019,9:34,16:10,NP,560,2109,,,,,,
21,PB CJ,61.12175,-151.157506,2,4,6/2/2019,9:34,16:10,NP,680,2110,,,,,,
22,PB CJ,61.12175,-151.157506,2,4,6/2/2019,9:34,16:10,NP,469,2108,,,,,,
23,PB CJ,61.12175,-151.157506,2,4,6/2/2019,9:34,16:10,NP,525,2145,,,,,,
24,PB CJ,61.12175,-151.157506,2,4,6/2/2019,9:34,16:10,NP,484,2144,,,,,,
25,PB CJ,61.12175,-151.157506,2,4,6/2/2019,9:34,16:10,NP,702,2140,,,,,,
26,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,562,2106,,,,,,
27,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,645,2107,,,,,,
28,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,286,,MORT,,,,,
29,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,254,,MORT,,,,,
30,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,290,,MORT,,,,,
31,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,290,,MORT,,,,,
32,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,557,2100,,,,,,
33,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,274,,MORT,,,,,
34,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,585,2143,,,,,,
35,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,250,,MORT,,,,,
36,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,270,,MORT,,,,,
37,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,281,,MORT,,,,,
38,PB CJ,61.12239,-151.155339,2,5,6/2/2019,9:40,16:15,NP,566,,MORT,,,,,
39,PB CJ,61.122696,-151.153568,2,6,6/2/2019,9:45,16:21,NP,660,2105,,,,,,
40,PB CJ,61.122696,-151.153568,2,6,6/2/2019,9:45,16:21,NP,1060,,MORT,,,,,
41,PB CJ,61.122696,-151.153568,2,6,6/2/2019,9:45,16:21,NP,550,2142,,,,,,
42,PB CJ,61.122844,-151.151378,2,7,6/2/2019,9:50,16:26,NP,547,2138,,,,,,
43,PB CJ,61.122844,-151.151378,2,7,6/2/2019,9:50,16:26,NP,498,2137,,,,,,
44,PB CJ,61.123159,-151.150353,2,8,6/2/2019,9:55,16:33,NP,491,2148,,,,,,
45,PB CJ,61.123159,-151.150353,2,8,6/2/2019,9:55,16:33,NP,465,2141,,,,,,
46,PB CJ,61.120137,-151.148298,2,9,6/2/2019,10:03,16:45,NP,554,2104,,,,,,
47,PB CJ,61.120137,-151.148298,2,9,6/2/2019,10:03,16:45,NP,550,2101,,,,,,
48,PB CJ,61.118855,-151.14741,2,10,6/2/2019,10:08,16:49,NP,568,2103,,,,,,
49,PB CJ,61.114677,-151.158944,1,1,6/3/2019,9:01,16:16,NP,580,2130,,,,,,
,PB CJ,61.113911,-151.159173,1,2,6/3/2019,9:06,16:20,LNS,,,,,,,,
,PB CJ,61.113789,-151.158045,1,3,6/3/2019,9:10,16:26,NONE,,,,,,,,
50,PB CJ,61.113939,-151.156593,1,4,6/3/2019,9:14,16:30,NP,,,RECAP,,,,,
,PB CJ,61.113939,-151.156593,1,4,6/3/2019,9:14,16:30,LNS,,,,,,,,
51,PB CJ,61.114343,-151.153916,1,5,6/3/2019,9:21,16:41,NP,,,RECAP,,,,,
52,PB CJ,61.114343,-151.153916,1,5,6/3/2019,9:21,16:41,NP,,,RECAP,,,,,
53,PB CJ,61.1141,-151.152629,1,6,6/3/2019,9:25,16:48,NP,695,2136,,,,,,
54,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,440,2135,,,,,,
55,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,430,,MORT,,,,,
56,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,260,,MORT,,,,,
57,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,582,2129,,,,,,
58,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,262,,MORT,,,,,
59,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,270,,MORT,,,,,
60,PB CJ,61.115151,-151.152871,1,7,6/3/2019,9:39,16:52,NP,,,RECAP,,,,,
,PB CJ,61.115065,-151.15126,1,8,6/3/2019,9:57,16:56,NONE,,,,,,,,
61,PB CJ,61.117331,-151.148533,1,9,6/3/2019,10:03,17:03,NP,416,2134,,,,,,
62,PB CJ,61.117947,-151.148287,1,10,6/3/2019,10:07,17:07,NP,,,RECAP,,,,,
63,PB CJ,61.117947,-151.148287,1,10,6/3/2019,10:07,17:07,NP,596,2133,,,,,,
64,PB CJ,61.117947,-151.148287,1,10,6/3/2019,10:07,17:07,NP,715,LOST,RECAP,,,,,
65,PB CJ,61.117947,-151.148287,1,10,6/3/2019,10:07,17:07,NP,670,2128,,,,,,
