"","section_mark","length_mark","tag_no","mark","section_recap","length_recap","recap","both_events"
"1",2,570,2074,1,2,NA,1,1
"2",2,516,2073,1,2,528,1,1
"3",2,735,2071,1,2,736,1,1
"4",2,618,2070,1,1,614,1,1
"5",2,551,2069,1,2,555,1,1
"6",2,538,2068,1,1,540,1,1
"7",2,550,2067,1,2,550,1,1
"8",2,535,2066,1,NA,NA,NA,NA
"9",2,700,2065,1,2,698,1,1
"10",2,600,2064,1,1,683,1,1
"11",2,661,2063,1,1,659,1,1
"12",2,528,2062,1,2,543,1,1
"13",2,599,2061,1,2,589,1,1
"14",2,564,2060,1,2,567,1,1
"15",1,574,2059,1,1,579,1,1
"16",1,569,2058,1,1,594,1,1
"17",1,623,2057,1,1,635,1,1
"18",1,638,2056,1,NA,NA,NA,NA
"19",2,546,2055,1,2,545,1,1
"20",2,825,2054,1,NA,NA,NA,NA
"21",2,533,2053,1,2,532,1,1
"22",2,555,2052,1,2,554,1,1
"23",1,560,2051,1,1,564,1,1
"24",1,465,2118,1,1,488,1,1
"25",1,467,2117,1,2,480,1,1
"26",1,470,2116,1,1,480,1,1
"27",1,573,2113,1,1,569,1,1
"28",1,545,2112,1,1,553,1,1
"29",1,455,2124,1,1,482,1,1
"30",1,439,2123,1,NA,NA,NA,NA
"31",1,585,2119,1,1,588,1,1
"32",1,594,2111,1,1,625,1,1
"33",1,447,2122,1,NA,NA,NA,NA
"34",1,567,2121,1,1,588,1,1
"35",1,588,2115,1,1,595,1,1
"36",1,584,2114,1,1,586,1,1
"37",2,714,2147,1,NA,NA,NA,NA
"38",2,561,2146,1,NA,NA,NA,NA
"39",2,560,2109,1,NA,NA,NA,NA
"40",2,680,2110,1,2,675,1,1
"41",2,469,2108,1,NA,NA,NA,NA
"42",2,525,2145,1,NA,NA,NA,NA
"43",2,484,2144,1,2,482,1,1
"44",2,702,2140,1,2,694,1,1
"45",2,562,2106,1,2,568,1,1
"46",2,645,2107,1,2,645,1,1
"47",2,557,2100,1,2,563,1,1
"48",2,585,2143,1,1,584,1,1
"49",2,660,2105,1,1,663,1,1
