X1 X2 X3 X4 Era
131 138 89 49 EP
125 131 92 48 EP
131 132 99 50 EP
119 132 96 44 EP
136 143 100 54 EP
138 137 89 56 EP
139 130 108 48 EP
125 136 93 48 EP
131 134 102 51 EP
134 134 99 51 EP
129 138 95 50 EP
134 121 95 53 EP
126 129 109 51 EP
132 136 100 50 EP
141 140 100 51 EP
131 134 97 54 EP
135 137 103 50 EP
132 133 93 53 EP
139 136 96 50 EP
132 131 101 49 EP
126 133 102 51 EP
135 135 103 47 EP
134 124 93 53 EP
128 134 103 50 EP
130 130 104 49 EP
138 135 100 55 EP
128 132 93 53 EP
127 129 106 48 EP
131 136 114 54 EP
124 138 101 46 EP
124 138 101 48 LP
133 134 97 48 LP
138 134 98 45 LP
148 129 104 51 LP
126 124 95 45 LP
135 136 98 52 LP
132 145 100 54 LP
133 130 102 48 LP
131 134 96 50 LP
133 125 94 46 LP
133 136 103 53 LP
131 139 98 51 LP
131 136 99 56 LP
138 134 98 49 LP
130 136 104 53 LP
131 128 98 45 LP
138 129 107 53 LP
123 131 101 51 LP
130 129 105 47 LP
134 130 93 54 LP
137 136 106 49 LP
126 131 100 48 LP
135 136 97 52 LP
129 126 91 50 LP
134 139 101 49 LP
131 134 90 53 LP
132 130 104 50 LP
130 132 93 52 LP
135 132 98 54 LP
130 128 101 51 LP
137 141 96 52 TTD
129 133 93 47 TTD
132 138 87 48 TTD
130 134 106 50 TTD
134 134 96 45 TTD
140 133 98 50 TTD
138 138 95 47 TTD
136 145 99 55 TTD
136 131 92 46 TTD
126 136 95 56 TTD
137 129 100 53 TTD
137 139 97 50 TTD
136 126 101 50 TTD
137 133 90 49 TTD
129 142 104 47 TTD
135 138 102 55 TTD
129 135 92 50 TTD
134 125 90 60 TTD
138 134 96 51 TTD
136 135 94 53 TTD
132 130 91 52 TTD
133 131 100 50 TTD
138 137 94 51 TTD
130 127 99 45 TTD
136 133 91 49 TTD
134 123 95 52 TTD
136 137 101 54 TTD
133 131 96 49 TTD
138 133 100 55 TTD
138 133 91 46 TTD
137 134 107 54 PP
141 128 95 53 PP
141 130 87 49 PP
135 131 99 51 PP
133 120 91 46 PP
131 135 90 50 PP
140 137 94 60 PP
139 130 90 48 PP
140 134 90 51 PP
138 140 100 52 PP
132 133 90 53 PP
134 134 97 54 PP
135 135 99 50 PP
133 136 95 52 PP
136 130 99 55 PP
134 137 93 52 PP
131 141 99 55 PP
129 135 95 47 PP
136 128 93 54 PP
131 125 88 48 PP
139 130 94 53 PP
144 124 86 50 PP
141 131 97 53 PP
130 131 98 53 PP
133 128 92 51 PP
138 126 97 54 PP
131 142 95 53 PP
136 138 94 55 PP
132 136 92 52 PP
135 130 100 51 PP
137 123 91 50 RP
136 131 95 49 RP
128 126 91 57 RP
130 134 92 52 RP
138 127 86 47 RP
126 138 101 52 RP
136 138 97 58 RP
126 126 92 45 RP
132 132 99 55 RP
139 135 92 54 RP
143 120 95 51 RP
141 136 101 54 RP
135 135 95 56 RP
137 134 93 53 RP
142 135 96 52 RP
139 134 95 47 RP
138 125 99 51 RP
137 135 96 54 RP
133 125 92 50 RP
145 129 89 47 RP
138 136 92 46 RP
131 129 97 44 RP
143 126 88 54 RP
134 124 91 55 RP
132 127 97 52 RP
137 125 85 57 RP
129 128 81 52 RP
140 135 103 48 RP
147 129 87 48 RP
136 133 97 51 RP
