PERMIT,HARVDATE,LOCATION,TANNER,USE,,OLD_NAME
1000316,10/7/2017,E,0,SPORT,,E
1000425,10/7/2017,E,0,SPORT,,E
1000534,10/3/2017,D,0,SPORT,,D
1000534,10/4/2017,D,0,SPORT,,D
1000534,10/6/2017,E,0,SPORT,,E
1000534,10/12/2017,E,0,SPORT,,E
1000643,10/3/2017,D,0,SPORT,,D
1000643,10/4/2017,D,0,SPORT,,D
1000643,10/6/2017,E,0,SPORT,,E
1000643,10/12/2017,E,0,SPORT,,E
1000752,10/20/2017,E,3,SPORT,,AREA E
1000861,10/14/2017,E,1,SPORT,,E
1000970,10/8/2017,E,3,SPORT,,E
1000970,10/14/2017,E,3,SPORT,,E
1000970,10/15/2017,E,3,SPORT,,E
1001134,10/14/2017,E,3,SPORT,,E
1001134,10/15/2017,E,3,SPORT,,E
1001134,10/20/2017,E,3,SPORT,,E
1001134,10/21/2017,E,3,SPORT,,E
1001243,10/1/2017,E,3,SPORT,,E
1001243,10/2/2017,E,3,SPORT,,E
1001243,10/3/2017,E,3,SPORT,,E
1001243,10/4/2017,E,3,SPORT,,E
1001243,10/20/2017,E,3,SPORT,,E
1001243,10/21/2017,E,3,SPORT,,E
1001243,10/22/2017,E,3,SPORT,,E
1001243,12/1/2017,E,3,SPORT,,E
1001243,12/2/2017,E,3,SPORT,,E
1001243,12/3/2017,E,3,SPORT,,E
1001352,10/20/2017,E,3,SPORT,,E
1001352,10/21/2017,E,3,SPORT,,E
1001352,10/22/2017,E,3,SPORT,,E
1001352,12/2/2017,E,3,SPORT,,E
1001352,12/3/2017,E,3,SPORT,,E
1001461,10/1/2017,E,3,SPORT,,E
1001461,10/20/2017,E,3,SPORT,,E
1001461,10/22/2017,E,3,SPORT,,E
1001461,12/3/2017,E,3,SPORT,,E
1001570,10/3/2017,E,3,SPORT,,E
1001570,10/4/2017,E,3,SPORT,,E
1001570,10/20/2017,E,3,SPORT,,E
1001570,10/22/2017,E,3,SPORT,,E
1001570,12/1/2017,E,3,SPORT,,E
1001570,12/3/2017,E,3,SPORT,,E
1002061,10/1/2017,E,0,SPORT,,E
1002061,10/2/2017,E,0,SPORT,,E
1002061,10/3/2017,E,3,SPORT,,E
1002061,10/17/2017,E,3,SPORT,,E
1002061,10/19/2017,E,3,SPORT,,E
1002061,10/28/2017,E,1,SPORT,,E
1002061,10/29/2017,E,3,SPORT,,E
1002061,10/31/2017,E,3,SPORT,,E
1002170,10/11/2017,E,3,SPORT,,E
1002170,10/12/2017,E,3,SPORT,,E
1002279,10/1/2017,E,3,SPORT,,E
1002279,10/22/2017,E,3,SPORT,,E
1002279,12/2/2017,E,3,SPORT,,E
1002279,12/3/2017,E,3,SPORT,,E
1002388,2/3/2017,E,3,SPORT,,E
1002388,2/14/2017,E,1,SPORT,,E
1002388,2/16/2017,E,1,SPORT,,E
1002497,10/3/2017,E,3,SPORT,,E
1002497,10/6/2017,E,4,SPORT,,E
1002497,10/8/2017,E,2,SPORT,,E
1002497,10/11/2017,E,5,SPORT,,E
1002506,10/4/2017,E,3,SPORT,,E
1002506,10/11/2017,E,3,SPORT,,E
1002506,10/21/2017,E,3,SPORT,,E
1002506,10/25/2017,E,3,SPORT,,E
1002724,12/1/2017,E,8,SPORT,,E
1003125,2/6/2017,C,3,SPORT,,C
1003125,2/8/2017,C,3,SPORT,,C
1003125,2/13/2017,C,1,SPORT,,C
1003125,2/18/2017,C,3,SPORT,,C
1003125,2/21/2017,C,3,SPORT,,C
1003125,2/22/2017,C,2,SPORT,,C
1003125,2/23/2017,C,0,SPORT,,C
1003125,2/25/2017,C,3,SPORT,,C
1003125,10/2/2017,C,0,SPORT,,C
1003125,10/3/2017,C,0,SPORT,,C
1003125,10/5/2017,C,0,SPORT,,C
1003125,10/7/2017,C,1,SPORT,,C
1003125,10/8/2017,C,0,SPORT,,C
1003125,10/10/2017,C,0,SPORT,,C
1003125,10/13/2017,C,0,SPORT,,C
1003125,10/17/2017,C,0,SPORT,,C
1003125,10/20/2017,C,1,SPORT,,C
